timestep,N,F,SVEB,VEB
118,0.036665678,0.40852973,0.45201176,0.102792785
119,0.036383133,0.38622168,0.48254162,0.09485355
120,0.03295282,0.41453335,0.46101257,0.09150127
121,0.028669823,0.42700994,0.45732638,0.086993836
122,0.028538616,0.43473247,0.45407963,0.08264926
123,0.023590777,0.40636194,0.4976726,0.07237464
124,0.028980142,0.3855648,0.501632,0.0838231
125,0.021663232,0.3688057,0.5373429,0.07218823
126,0.023889033,0.36742494,0.52900267,0.07968339
127,0.024154412,0.37516528,0.5227877,0.07789264
128,0.020118484,0.41419676,0.4956499,0.07003479
129,0.02068169,0.42145026,0.4897364,0.06813157
130,0.021994738,0.4155898,0.49540508,0.06701034
131,0.022170268,0.43198028,0.4772753,0.06857414
132,0.023047233,0.43926758,0.4646428,0.07304249
133,0.024792865,0.44234058,0.45786107,0.075005524
134,0.027225869,0.43620723,0.45686397,0.07970292
135,0.02926082,0.42903635,0.4628339,0.07886894
136,0.033052523,0.42513394,0.45693085,0.084882654
137,0.026681907,0.4579044,0.44089735,0.07451635
138,0.02723914,0.45880345,0.43997753,0.073979944
139,0.03089718,0.4534481,0.43573156,0.07992322
140,0.03088099,0.46792236,0.417935,0.08326164
141,0.035704065,0.44876564,0.41916412,0.09636628
142,0.03936141,0.37264052,0.47388408,0.11411393
143,0.037512213,0.39216223,0.46501622,0.10530929
144,0.03839428,0.3910661,0.4645872,0.10595247
145,0.042577367,0.3894907,0.4561254,0.11180648
146,0.03941481,0.41162705,0.4412063,0.10775187
147,0.044936128,0.38348326,0.45805407,0.11352657
148,0.046016082,0.39198506,0.44368535,0.11831355
149,0.050633382,0.3849109,0.43895736,0.12549831
150,0.05100208,0.40162748,0.4268932,0.12047727
151,0.05385658,0.4154517,0.41022357,0.120468125
152,0.07064456,0.35416025,0.42840216,0.14679304
153,0.07635092,0.3114678,0.4626717,0.1495095
154,0.076393,0.32397717,0.44778243,0.15184748
155,0.07091995,0.34234458,0.43643105,0.15030448
156,0.07998215,0.33915547,0.41934896,0.1615134
157,0.07826016,0.30452076,0.4473055,0.16991366
158,0.083459415,0.30392608,0.4381369,0.17447753
159,0.09483005,0.2625582,0.43888104,0.20373073
160,0.100200884,0.22821504,0.45405427,0.21752982
161,0.107946254,0.2148035,0.4590785,0.21817179
162,0.09855401,0.23441514,0.4593829,0.20764795
163,0.09680101,0.24692343,0.45319775,0.20307776
164,0.08848502,0.21682656,0.48662588,0.20806253
165,0.086417116,0.2297331,0.48032594,0.20352393
166,0.08560789,0.24428524,0.47096974,0.19913715
167,0.09899902,0.22029908,0.45631787,0.22438414
168,0.12222829,0.17560054,0.4517151,0.25045606
169,0.1189197,0.18588893,0.44911698,0.24607441
170,0.119844355,0.18673982,0.44542113,0.24799469
171,0.12487295,0.19041091,0.43532133,0.24939483
172,0.12511678,0.17766438,0.4485262,0.24869269
173,0.12855153,0.17529663,0.45612958,0.24002229
174,0.14294578,0.16453645,0.4371705,0.25534725
175,0.13373703,0.18060382,0.43890268,0.24675652
176,0.13442001,0.15154283,0.44080245,0.27323472
177,0.14923483,0.13360974,0.43215442,0.28500107
178,0.1402773,0.1263334,0.4294047,0.30398458
179,0.14488584,0.13019806,0.4422178,0.28269827
180,0.14702241,0.09832741,0.4486497,0.30600047
181,0.1145913,0.09927516,0.49174228,0.2943913
182,0.110251755,0.11258911,0.4920694,0.28508973
183,0.09846835,0.11669948,0.48372367,0.30110848
184,0.10107843,0.09342335,0.48467585,0.32082233
185,0.10890077,0.09304404,0.46537843,0.33267668
186,0.12846735,0.082451396,0.45093963,0.33814162
187,0.13001648,0.08795343,0.44132432,0.34070575
188,0.116227515,0.07438559,0.46840605,0.3409809
189,0.12768361,0.070654154,0.46545172,0.33621055
190,0.124098174,0.06796967,0.46297607,0.34495604
191,0.13408615,0.06724923,0.44290563,0.35575902
192,0.1244507,0.061583623,0.45674884,0.35721684
193,0.11751899,0.051443376,0.44426927,0.38676837
194,0.13779947,0.044455826,0.41379377,0.40395093
195,0.12104347,0.034502476,0.43320036,0.41125366
196,0.1230021,0.03154342,0.46400243,0.38145208
197,0.12490081,0.02260955,0.4448787,0.40761086
198,0.13420999,0.019943576,0.4556758,0.39017057
199,0.0994063,0.015856093,0.46933144,0.41540614
200,0.09739231,0.013866526,0.49651998,0.3922212
201,0.103863925,0.016263055,0.48906863,0.3908044
202,0.10277003,0.018211678,0.47738525,0.40163305
203,0.10816084,0.016534965,0.49822646,0.3770777
204,0.08651473,0.0144909015,0.5399452,0.3590492
205,0.09984181,0.012964583,0.5464768,0.34071684
206,0.086570114,0.008624478,0.5540477,0.35075772
207,0.080346175,0.0071972706,0.5554059,0.35705066
208,0.06946801,0.006571735,0.57858634,0.3453739
209,0.07333165,0.005249559,0.5899438,0.33147496
210,0.07911234,0.00595842,0.56644356,0.3484856
211,0.06417281,0.004480232,0.6312136,0.30013335
212,0.06338535,0.005178565,0.6247085,0.30672756
213,0.079714306,0.00489641,0.5861608,0.32922843
214,0.06181889,0.0043168184,0.57772803,0.35613626
215,0.06804515,0.004986441,0.55615735,0.37081102
216,0.08100966,0.0048598167,0.5323074,0.38182315
217,0.083490044,0.0044073313,0.5629386,0.3491641
218,0.073752664,0.004178729,0.58030653,0.3417621
219,0.06483461,0.003227994,0.6355277,0.29640976
220,0.07406729,0.003239975,0.58399254,0.33870018
221,0.07687653,0.003393347,0.5901316,0.32959858
222,0.05750521,0.0030043903,0.6573031,0.2821873
223,0.057003174,0.0027267174,0.6396025,0.30066758
224,0.083249725,0.0024178578,0.6285601,0.28577232
225,0.06375133,0.0013115396,0.6723179,0.2626192
226,0.04719179,0.00082031824,0.7304612,0.22152676
227,0.05357123,0.0010591124,0.7143812,0.23098838
228,0.052107923,0.0010362105,0.7244862,0.22236966
229,0.06168518,0.0011873819,0.6973745,0.23975293
230,0.06500181,0.0015843067,0.6862411,0.2471728
231,0.052631985,0.0013182152,0.69913375,0.24691606
232,0.063475154,0.0013320099,0.70715505,0.22803774
233,0.065310225,0.0013624167,0.6937966,0.23953073
234,0.0702696,0.0015139721,0.6916797,0.23653676
235,0.08591281,0.0016175667,0.6620756,0.2503941
236,0.0774445,0.0018122818,0.6688704,0.25187287
237,0.08383317,0.0017957576,0.66165733,0.2527137
238,0.091908254,0.0020705045,0.65426683,0.25175443
239,0.096888974,0.0025107877,0.6405306,0.2600696
240,0.08488722,0.0023245849,0.6514062,0.26138195
241,0.07353596,0.0019891518,0.6627535,0.26172134
242,0.07363909,0.0017145738,0.68695676,0.23768964
243,0.08267785,0.0018112136,0.68630236,0.22920857
244,0.089678764,0.0023670904,0.67140037,0.23655373
245,0.08513038,0.0023213683,0.69274646,0.21980186
246,0.08312099,0.0024352847,0.7184005,0.19604328
247,0.08983075,0.00250104,0.71258605,0.19508211
248,0.11753482,0.0021742159,0.69874865,0.18154238
249,0.106501624,0.0017613143,0.7133664,0.17837073
250,0.117213905,0.0011532173,0.7199091,0.16172382
251,0.14161977,0.0014426387,0.68963903,0.16729847
252,0.13086042,0.0014339504,0.71650565,0.15120004
253,0.11405183,0.0017999591,0.7413494,0.14279884
254,0.105119124,0.0019056522,0.7455184,0.14745681
255,0.10901031,0.0025650298,0.7281637,0.16026087
256,0.10741082,0.0027544084,0.73435134,0.15548344
257,0.10983286,0.0024524624,0.69640917,0.19130543
258,0.10872362,0.0029886537,0.69002646,0.19826132
259,0.18890865,0.0033592298,0.6029319,0.2048002
260,0.17779548,0.0030646813,0.6281689,0.19097097
261,0.18447411,0.003947342,0.6110983,0.20048027
262,0.17929994,0.0037368007,0.6242282,0.19273505
263,0.20417525,0.0040990002,0.5859588,0.20576696
264,0.19362868,0.0036380251,0.5794861,0.22324717
265,0.1643316,0.0030991868,0.60179573,0.23077354
266,0.16578288,0.0032696624,0.5893017,0.2416457
267,0.20094879,0.0038485983,0.54423654,0.2509661
268,0.17031577,0.0038818896,0.5878026,0.23799975
269,0.16124083,0.004344345,0.5767358,0.25767908
270,0.13666674,0.0044151014,0.58011156,0.27880663
271,0.12954418,0.0043291906,0.5949786,0.27114803
272,0.14121036,0.0036875948,0.6165147,0.23858733
273,0.13920487,0.0035645426,0.6274466,0.22978401
274,0.12946185,0.0035545733,0.6453047,0.22167884
275,0.105951205,0.0030400343,0.699357,0.19165178
276,0.091048025,0.0027773308,0.7298618,0.17631291
277,0.14639457,0.0031282934,0.66436374,0.18611336
278,0.13489956,0.002374764,0.7023195,0.16040617
279,0.11484681,0.0021250732,0.725558,0.15747015
280,0.12251752,0.0017431403,0.72497773,0.15076162
281,0.14005716,0.0018098615,0.7171664,0.14096655
282,0.1742384,0.002303535,0.67063963,0.15281843
283,0.17567755,0.0025620542,0.6573957,0.16436467
284,0.14899191,0.002189633,0.67141575,0.17740265
285,0.17042726,0.0027146786,0.64065653,0.18620154
286,0.2037527,0.0027582627,0.6216025,0.17188658
287,0.21200357,0.002692999,0.5992649,0.18603848
288,0.24338445,0.0031613668,0.56650984,0.18694437
289,0.29309586,0.003016014,0.50669193,0.19719623
290,0.30097023,0.0038078646,0.492368,0.2028538
291,0.32637146,0.0045213723,0.45864922,0.21045788
292,0.32255107,0.00425507,0.4572732,0.21592069
293,0.32509413,0.004258928,0.44102293,0.22962399
294,0.3033279,0.0040675458,0.45882928,0.2337753
295,0.2749947,0.0037096268,0.48683205,0.2344636
296,0.29985878,0.004218613,0.45584732,0.24007536
297,0.34703755,0.0044038757,0.4107801,0.23777841
298,0.35678548,0.0047394135,0.3941076,0.24436751
299,0.36415893,0.0045052487,0.3938015,0.2375343
300,0.3553443,0.0048356275,0.39753127,0.24228884
301,0.26521087,0.004214865,0.45092124,0.279653
302,0.25629896,0.0049321903,0.43946868,0.2993002
303,0.26526517,0.00572169,0.4421831,0.28683
304,0.2935554,0.0065797297,0.41398957,0.2858753
305,0.29117712,0.008065778,0.41112936,0.28962767
306,0.27390942,0.008908799,0.43478122,0.28240052
307,0.27710417,0.009585764,0.4121529,0.30115718
308,0.23801601,0.0075236247,0.43339404,0.3210663
309,0.21398252,0.007897059,0.4589894,0.31913105
310,0.21999216,0.00923316,0.4345259,0.3362487
311,0.20629893,0.0102831395,0.45739123,0.32602674
312,0.2069312,0.010566245,0.46287972,0.31962284
313,0.20631967,0.012612391,0.4559082,0.3251597
314,0.22029345,0.0148509815,0.43926042,0.32559514
315,0.18906783,0.016467584,0.44597867,0.34848592
316,0.18199533,0.02038312,0.4584571,0.33916438
317,0.13503486,0.018505145,0.53509724,0.31136277
318,0.12735559,0.018851982,0.5638371,0.28995538
319,0.10007801,0.018185107,0.61236936,0.26936758
320,0.081754476,0.01770913,0.6263841,0.27415234
321,0.08030006,0.018428354,0.62290186,0.2783697
322,0.08049418,0.02220558,0.6294693,0.26783094
323,0.08047629,0.02212864,0.6322084,0.26518673
324,0.07541279,0.021837138,0.63399327,0.2687568
325,0.07272786,0.024887912,0.6170865,0.28529766
326,0.07889645,0.028448684,0.6031208,0.2895341
327,0.076665856,0.027648553,0.6259859,0.26969966
328,0.08004221,0.031861015,0.6095631,0.27853367
329,0.071611755,0.0324747,0.6335911,0.26232243
330,0.06290896,0.034395643,0.6702067,0.23248863
331,0.059091855,0.041866537,0.6834406,0.21560101
332,0.054330885,0.03954792,0.717349,0.18877219
333,0.05645373,0.046299472,0.71288127,0.18436556
334,0.05334753,0.049458425,0.71648675,0.18070725
335,0.05110039,0.051794898,0.7296948,0.16740988
336,0.047727536,0.045722183,0.74482375,0.16172656
337,0.04287806,0.0458513,0.7596072,0.15166353
338,0.04051494,0.047993746,0.7617588,0.14973255
339,0.031807903,0.04640738,0.7884294,0.13335533
340,0.030603996,0.047708526,0.7865538,0.13513373
341,0.033894513,0.054444857,0.7675798,0.14408074
342,0.03496906,0.063391775,0.7596778,0.14196138
343,0.036684893,0.06672245,0.7495518,0.14704087
344,0.03781623,0.074737184,0.7429879,0.14445873
345,0.033627167,0.07789864,0.7441364,0.14433779
346,0.03190875,0.08216328,0.75432205,0.13160592
347,0.022910967,0.07942254,0.79065365,0.10701285
348,0.020759901,0.08315021,0.8023049,0.09378504
349,0.02146078,0.086952806,0.7977861,0.09380023
350,0.020449432,0.09836423,0.79223484,0.08895151
351,0.021740058,0.09746557,0.78623563,0.09455883
352,0.019783553,0.087692924,0.8079539,0.08456966
353,0.02115032,0.10076488,0.7847478,0.093336925
354,0.018609729,0.10210544,0.79644763,0.08283718
355,0.017513817,0.09201444,0.8090266,0.081445165
356,0.018893173,0.09357369,0.80285144,0.084681675
357,0.01920893,0.10751788,0.79127234,0.082000844
358,0.020691834,0.11800334,0.77873296,0.08257186
359,0.019911973,0.11482263,0.78281003,0.08245538
360,0.018465318,0.13129987,0.7765516,0.0736832
361,0.0152817955,0.11670182,0.8045723,0.06344414
362,0.014535277,0.12593918,0.79779404,0.06173155
363,0.014050459,0.12327799,0.80244803,0.06022355
364,0.013269099,0.12247122,0.80800503,0.05625463
365,0.009986353,0.10725273,0.83688426,0.045876686
366,0.010323652,0.12447738,0.8206295,0.04456955
367,0.011040507,0.13908078,0.8049056,0.04497309
368,0.012556395,0.15655078,0.7837579,0.047134925
369,0.012238462,0.14508387,0.79431266,0.04836502
370,0.01384158,0.15720162,0.7773003,0.051656473
371,0.012722402,0.14995089,0.78581256,0.051514104
372,0.013704351,0.14116476,0.79142135,0.053709574
373,0.011948293,0.15917498,0.7830358,0.0458409
374,0.012404307,0.15171136,0.7904149,0.045469426
375,0.012264996,0.14841084,0.79484874,0.04447543
376,0.0114008365,0.15341127,0.7930045,0.042183377
377,0.0137211885,0.16264646,0.7760024,0.04762993
378,0.014881761,0.15929393,0.7754792,0.050345175
379,0.016787259,0.17057426,0.755929,0.056709502
380,0.018158736,0.16632897,0.75568086,0.059831377
381,0.018344196,0.18216929,0.74069595,0.058790617
382,0.016340332,0.18314084,0.74669904,0.053819846
383,0.013408367,0.18412729,0.7544308,0.048033603
384,0.008587605,0.1782427,0.78075165,0.03241802
385,0.00905448,0.16709024,0.78907204,0.03478328
386,0.010691044,0.18129246,0.7683247,0.039691772
387,0.012440381,0.19348234,0.749236,0.044841312
388,0.01360788,0.20514746,0.73501337,0.04623137
389,0.014232003,0.22115226,0.7189356,0.04568011
390,0.013907869,0.24531157,0.6955905,0.045190074
391,0.012821147,0.24880607,0.69746757,0.04090518
392,0.012524864,0.26181978,0.6878274,0.037828036
393,0.010337939,0.20806108,0.7484184,0.03318252
394,0.007310601,0.16854326,0.7965761,0.02757005
395,0.008759148,0.18165292,0.77791524,0.031672705
396,0.007867907,0.19036116,0.77004457,0.031726427
397,0.009151562,0.20271069,0.75324875,0.034889016
398,0.009045358,0.20241493,0.75185645,0.036683343
399,0.009653279,0.21898422,0.73431134,0.037051175
400,0.008160761,0.24365884,0.7169166,0.031263724
401,0.0074787545,0.24949662,0.71249825,0.030526405
402,0.008799421,0.2509378,0.7048602,0.03540263
403,0.009554329,0.25264135,0.6982828,0.03952157
404,0.008410614,0.22696382,0.7296645,0.034961075
405,0.010241841,0.23534107,0.7147023,0.039714828
406,0.009227374,0.23279873,0.7211582,0.03681566
407,0.011033474,0.24264517,0.70476747,0.04155392
408,0.007010226,0.20154954,0.7588882,0.032552015
409,0.004861164,0.20236157,0.7658534,0.026923867
410,0.0041855937,0.23159367,0.73840183,0.025818985
411,0.0048710285,0.22368449,0.74298584,0.028458647
412,0.005368902,0.21488842,0.7503945,0.02934818
413,0.005406417,0.2259519,0.73874277,0.02989896
414,0.005167218,0.24539217,0.7191069,0.03033372
415,0.006446896,0.25361288,0.7052247,0.034715593
416,0.007083148,0.24853915,0.7073722,0.03700546
417,0.0060080434,0.24274887,0.7148466,0.036396448
418,0.005600603,0.26030868,0.6962509,0.03783985
419,0.0044541247,0.28990552,0.67178226,0.033858173
420,0.0042466433,0.28964117,0.670205,0.035907194
421,0.005335583,0.2961725,0.6578389,0.040653042
422,0.0046753455,0.28634363,0.6666562,0.042324822
423,0.0044513713,0.2817243,0.6725564,0.041267965
424,0.0055772634,0.28832638,0.6597127,0.046383683
425,0.00622437,0.27624306,0.6706683,0.046864264
426,0.0055895364,0.29069915,0.6558055,0.047905732
427,0.005260822,0.31810555,0.6320191,0.04461456
428,0.0046992977,0.32712358,0.623897,0.04428009
429,0.0049223914,0.3400497,0.610771,0.044256933
430,0.005472647,0.35204166,0.5954836,0.047002114
431,0.005470589,0.3272154,0.61440885,0.0529051
432,0.004464298,0.30550376,0.639763,0.050268997
433,0.003925204,0.33629125,0.6097408,0.05004276
434,0.0024343876,0.3772537,0.5805642,0.039747745
435,0.002570057,0.39297867,0.56024426,0.04420703
436,0.0023971992,0.3807517,0.5701172,0.04673399
437,0.0024064295,0.38948327,0.5613165,0.04679376
438,0.0030969607,0.39110428,0.5536933,0.05210545
439,0.0035967992,0.40132666,0.54062885,0.054447725
440,0.004392786,0.4128865,0.5219352,0.060785484
441,0.004348315,0.4102691,0.5253239,0.060058706
442,0.0039300895,0.3920108,0.54277563,0.061283536
443,0.0033396017,0.42131925,0.51674944,0.058591716
444,0.0035661866,0.44838867,0.49277225,0.055272963
445,0.0034588883,0.44531694,0.49400285,0.057221368
446,0.00295274,0.45440057,0.4900648,0.052581858
447,0.0032887098,0.422764,0.5151792,0.05876813
448,0.0031395142,0.4051088,0.5346023,0.05714936
449,0.0027550736,0.40197662,0.5333266,0.061941724
450,0.002335316,0.42417252,0.51621515,0.057276968
451,0.0024661308,0.41518834,0.5160408,0.066304706
452,0.0025645772,0.4364967,0.49446112,0.06647755
453,0.0026495392,0.4341175,0.4970161,0.06621682
454,0.0031672262,0.4015467,0.52635145,0.068934664
455,0.0030021633,0.37868953,0.54814816,0.07016015
456,0.0025633327,0.41299227,0.5231024,0.061341926
457,0.0021070756,0.4429628,0.5029296,0.052000523
458,0.0024562026,0.4033346,0.5356405,0.058568683
459,0.0026639686,0.41450763,0.5239314,0.058897074
460,0.0027236731,0.36894557,0.56489724,0.06343344
461,0.0027216366,0.31386888,0.6226052,0.06080422
462,0.0034820228,0.31854528,0.61111873,0.06685396
463,0.0037706685,0.31178135,0.60971636,0.074731655
464,0.0047399653,0.3159922,0.5980614,0.08120649
465,0.0054682014,0.3404894,0.57477933,0.079263136
466,0.0061751124,0.26789194,0.6514399,0.07449307
467,0.0057684095,0.24140985,0.6699889,0.082832806
468,0.006863756,0.22476669,0.6828962,0.08547338
469,0.0069138594,0.17281201,0.73736376,0.082910314
470,0.00963416,0.13648325,0.77033573,0.08354683
471,0.011000466,0.12645827,0.77422863,0.08831259
472,0.013079697,0.09527971,0.8114904,0.08015012
473,0.011035667,0.04529928,0.876782,0.06688312
474,0.011317326,0.02735316,0.90258723,0.058742262
475,0.012584785,0.01921356,0.9157967,0.0524049
476,0.0085006105,0.011102821,0.93765104,0.042745505
477,0.010523949,0.008949998,0.9392291,0.041296944
478,0.013452797,0.009611411,0.93399274,0.04294305
479,0.0135337915,0.0051470473,0.94245857,0.038860608
480,0.014322965,0.0037339607,0.9475122,0.034430847
481,0.01417235,0.00290483,0.9474351,0.035487704
482,0.016506441,0.0019108357,0.9517685,0.02981426
483,0.012969214,0.0012583901,0.9582239,0.02754858
484,0.016921671,0.0011683025,0.9546004,0.027309595
485,0.015335578,0.00096003246,0.9589221,0.024782382
486,0.020373732,0.00073866406,0.95662695,0.022260768
487,0.022073235,0.0008405578,0.95238465,0.024701498
488,0.021835787,0.00054720003,0.955091,0.022526018
489,0.02280156,0.0005312508,0.9550826,0.021584624
490,0.025993545,0.0004405199,0.949714,0.023852013
491,0.016170243,0.00024205243,0.96303856,0.020549221
492,0.021102112,0.00024740165,0.9586526,0.019997945
493,0.018811984,0.00021494493,0.9629449,0.018028226
494,0.022945832,0.0001893518,0.95896536,0.017899556
495,0.024989324,0.00017942495,0.9564259,0.018405339
496,0.028868074,0.00019628968,0.95061725,0.020318352
497,0.024809394,8.7764114e-05,0.9560034,0.019099446
498,0.0338829,0.00011331315,0.94295716,0.023046734
499,0.036312312,0.00012832324,0.9403303,0.023229005
500,0.03381204,9.1858914e-05,0.9475324,0.018563641
501,0.02864009,7.642751e-05,0.95249575,0.01878773
502,0.027847605,8.421233e-05,0.95050526,0.021562919
503,0.032131743,7.130118e-05,0.9475539,0.02024312
504,0.037852734,0.00010338618,0.9375379,0.024506014
505,0.03435793,7.903175e-05,0.94513434,0.020428656
506,0.036807965,6.171507e-05,0.945738,0.01739225
507,0.029803662,4.7311692e-05,0.9525814,0.01756768
508,0.027596187,5.2922667e-05,0.95315796,0.019192876
509,0.03113862,7.086295e-05,0.94443357,0.024356883
510,0.042433448,0.0001078077,0.92892987,0.028528811
511,0.032261737,7.678161e-05,0.9421864,0.025474994
512,0.046464965,9.100521e-05,0.9239622,0.02948188
513,0.043746598,0.0001013153,0.92317206,0.032979965
514,0.036500014,6.5414504e-05,0.93492293,0.028511634
515,0.039968424,8.020896e-05,0.925639,0.034312345
516,0.04040878,0.00010157622,0.9165138,0.042975742
517,0.03893454,0.00011058599,0.91796076,0.042994145
518,0.037309796,0.00012550187,0.9155691,0.046995606
519,0.043555498,0.0001866374,0.8986084,0.057649475
520,0.032835785,0.00024101355,0.9130021,0.05392114
521,0.036501203,0.00035323025,0.9010392,0.062106423
522,0.039877523,0.00052952865,0.8907804,0.06881261
523,0.04675133,0.00066507864,0.8784889,0.074094616
524,0.046409227,0.0007839656,0.87403154,0.078775145
525,0.033960868,0.0008438009,0.8819415,0.08325383
526,0.039174348,0.0011723143,0.86773986,0.0919134
527,0.034397926,0.0013150119,0.8713572,0.092929825
528,0.042036604,0.0016009159,0.85410815,0.102254294
529,0.041427437,0.0020337168,0.8505672,0.10597156
530,0.040641986,0.0026925253,0.83898604,0.117679454
531,0.037190992,0.0036611133,0.8303871,0.12876078
532,0.039500732,0.004349305,0.8163196,0.13983034
533,0.037156433,0.004457176,0.822897,0.13548942
534,0.034135334,0.005722618,0.8280054,0.13213664
535,0.034298174,0.006053654,0.8235148,0.13613333
536,0.038898226,0.0062674438,0.8122867,0.14254762
537,0.047824454,0.007110329,0.7717188,0.1733464
538,0.042294823,0.008347472,0.757093,0.19226469
539,0.051893737,0.010452355,0.7415995,0.19605443
