state,vg_idx,point,Vg_V,Vds_V,Id_uA_um
ltp15,1,10,0.2,0.5,207.3211
ltp15,1,11,0.2,0.55,208.8622
ltp15,1,12,0.2,0.6,209.7835
ltp15,1,13,0.2,0.65,210.3094
ltp15,1,14,0.2,0.7,210.5721
ltp15,1,15,0.2,0.75,210.6264
ltp15,1,16,0.2,0.8,210.5081
ltp15,1,17,0.2,0.85,210.2426
ltp15,1,18,0.2,0.9,209.8482
ltp15,1,19,0.2,0.95,209.3382
ltp15,1,20,0.2,1.0,208.723
pgm,1,0,0.2,0.0,9.889231e-06
pgm,1,1,0.2,0.05,43.66197
pgm,1,2,0.2,0.1,83.24923
pgm,1,3,0.2,0.15,118.6024
pgm,1,4,0.2,0.2,149.4941
pgm,1,5,0.2,0.25,175.6792
pgm,1,6,0.2,0.3,196.9351
pgm,1,7,0.2,0.35,213.1353
pgm,1,8,0.2,0.4,224.4292
pgm,1,9,0.2,0.45,231.5237
pgm,1,10,0.2,0.5,235.6937
pgm,1,11,0.2,0.55,238.2122
pgm,1,12,0.2,0.6,239.8666
pgm,1,13,0.2,0.65,241.0132
pgm,1,14,0.2,0.7,241.8088
pgm,1,15,0.2,0.75,242.3501
pgm,1,16,0.2,0.8,242.6785
pgm,1,17,0.2,0.85,242.8244
pgm,1,18,0.2,0.9,242.8087
pgm,1,19,0.2,0.95,242.6473
pgm,1,20,0.2,1.0,242.353
