clip,p_raw,p_smoothed,label
2438,0.8332356,0.5129534520563624,0
2439,0.09838199,0.47681206500246404,0
2440,0.8962697,0.4439483118199166,0
2441,0.12645105,0.4432430583096686,0
2442,0.113283515,0.408898743490378,0
2443,0.13119581,0.3953089284754935,0
2444,0.8468439,0.39174740087418325,0
2445,0.54738235,0.3537450773375376,0
2446,0.14371869,0.35515705283199045,0
2447,0.119536646,0.3188639875678789,0
2448,0.3583246,0.2906494271897134,0
2449,0.10306901,0.25959213752122157,0
2450,0.13439733,0.2684880743424098,0
2451,0.7751256,0.26437925086134956,0
2452,0.17352666,0.26560668789205094,0
2453,0.1260606,0.2653154354719889,0
2454,0.077610366,0.26317510576475234,0
2455,0.11855644,0.2264374161050433,0
2456,0.12538652,0.21766042780308495,0
2457,0.10286549,0.21782040950797854,0
2458,0.1524161,0.2355224962035815,0
2459,0.18103254,0.2224669236512411,0
2460,0.28519666,0.2519779155651728,0
2461,0.8099844,0.2513570725208237,0
2462,0.15222722,0.2195614714707647,0
2463,0.107167214,0.25067822032031556,0
2464,0.08624889,0.26429981738328934,0
2465,0.075352415,0.26435139420486636,0
2466,0.3630656,0.262489303236916,0
2467,0.1470783,0.2905822162117277,0
2468,0.49128047,0.2913541687386377,0
2469,0.084157564,0.2897665145851317,0
2470,0.72279984,0.2876313804160981,0
2471,0.121359624,0.2821678327662604,0
2472,0.107418,0.24829496798061187,0
2473,0.8269784,0.24516474278200237,0
2474,0.41211414,0.24456460277239483,0
2475,0.07869348,0.24519577338581994,0
2476,0.07945253,0.24427930620454605,0
2477,0.7153377,0.2312080501800492,0
2478,0.11907649,0.22956018965868724,0
2479,0.11907536,0.20967966956751688,0
2480,0.13619472,0.21198145583981562,0
2481,0.17046216,0.1831505426338741,0
2482,0.098654225,0.18103763177281337,0
2483,0.086492494,0.1953332012607938,0
2484,0.094564274,0.16203055282433826,0
2485,0.09950347,0.14672065845557622,0
